Brand,Year,Model,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,Price
Jeep,2016,Grand,2016 Jeep Grand Cherokee Limited (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,124359,White / Grey Leather,6 cyl,SUV," 4 Doors"," 5 Seats",29990
Ford,2021,Puma,2021 Ford Puma,USED,Automatic,"3 cyl, 1 L",Front,Premium,5.3 L / 100 km,45214,Red / Black,3 cyl,SUV," 5 Doors"," 5 Seats",26990
Porsche,2014,Macan,2014 Porsche Macan S Diesel,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6.1 L / 100 km,142300,White / Black Leather,6 cyl,SUV," 4 Doors"," 5 Seats",46990
Nissan,2018,Juke,2018 Nissan Juke TI-S (awd),USED,Automatic,"4 cyl, 1.6 L",AWD,Premium,6.5 L / 100 km,30924,Yellow / -,4 cyl,SUV," 4 Doors"," 5 Seats",26999
Jeep,2008,Commander,2008 Jeep Commander,USED,Automatic,"8 cyl, 4.7 L",4WD,Premium,15.5 L / 100 km,207527,Silver / Grey,8 cyl,SUV," 4 Doors"," 7 Seats",9985
Nissan,2014,X-Trail,2014 Nissan X-Trail ST-L (fwd),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,176895,White / -,4 cyl,SUV," 4 Doors"," 5 Seats",17990
Hyundai,2016,Santa,2016 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.8 L / 100 km,155823,Red / Black,4 cyl,SUV," 4 Doors"," 7 Seats",35990
Mitsubishi,2019,Outlander,2019 Mitsubishi Outlander ES 7 Seat (2WD),USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,6.8 L / 100 km,91842,White / -,4 cyl,SUV," 4 Doors"," 7 Seats",26988
Toyota,2015,Hilux,2015 Toyota Hilux SR (4X4),USED,Manual,"4 cyl, 3 L",4WD,Diesel,8.3 L / 100 km,295000,White / Black,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",24990
Toyota,2020,Landcruiser,2020 Toyota Landcruiser Prado GXL (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8 L / 100 km,63000,Brown / -,4 cyl,SUV," 4 Doors"," 7 Seats",76999
Hyundai,2020,Kona,2020 Hyundai Kona Highlander S.roof (awd),USED,Automatic,"4 cyl, 1.6 L",AWD,Unleaded,6.7 L / 100 km,25000,Blue / Black,4 cyl,SUV," 4 Doors"," 5 Seats",34990
MG,2023,ZST,2023 MG ZST Excite,NEW,Automatic,"3 cyl, 1.3 L",Front,-,7.3 L / 100 km,20,White / -,3 cyl,SUV," 5 Doors"," 5 Seats",32990
Hyundai,2021,Santa,2021 Hyundai Santa FE Crdi (awd),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,6.1 L / 100 km,45360,White / -,4 cyl,SUV," 4 Doors"," 7 Seats",44999
Toyota,2018,Camry,2018 Toyota Camry SX V6,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,8.9 L / 100 km,46715,Blue / -,6 cyl,Sedan," 4 Doors"," 5 Seats",36265
Mitsubishi,2018,Eclipse,2018 Mitsubishi Eclipse Cross Exceed (awd),USED,Automatic,"4 cyl, 1.5 L",AWD,Unleaded,7.7 L / 100 km,82858,Blue / -,4 cyl,SUV," 4 Doors"," 5 Seats",29910
Toyota,2014,Landcruiser,2014 Toyota Landcruiser Prado GX (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,8.5 L / 100 km,118041,White / -,4 cyl,SUV," 4 Doors"," 5 Seats",40990
Hyundai,2012,I45,2012 Hyundai I45 Active,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.9 L / 100 km,327430,- / -,4 cyl,Sedan," 4 Doors"," 5 Seats",7999
Holden,2014,Calais,2014 Holden Calais V,USED,Automatic,"8 cyl, 6 L",Rear,Premium,14.6 L / 100 km,51008,White / -,8 cyl,Sedan," 4 Doors"," 5 Seats",42990
Toyota,2018,Landcruiser,2018 Toyota Landcruiser Prado GXL (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8 L / 100 km,180901,White / -,4 cyl,SUV," 4 Doors"," 7 Seats",52990
Isuzu,2020,MU-X,2020 Isuzu MU-X LS-U (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,7.9 L / 100 km,38444,White / Black,4 cyl,SUV," 4 Doors"," 7 Seats",57885
